label,message
ham,"Hey, are you coming to class today?"
spam,Congratulations! You won a free lottery ticket. Click now!
ham,Can you send me today's notes?
spam,URGENT! Claim your cash prize now.
ham,Let's meet for lunch tomorrow.
spam,You have been selected for a free iPhone.
ham,Don't forget the assignment submission.
spam,Win 50000 dollars instantly. Reply YES.
ham,Call me when you reach home.
spam,Limited offer! Buy now and get 70 percent discount.
ham,Happy Birthday! Have a wonderful day.
spam,Free vacation package waiting for you.
ham,Can we work on the project together?
spam,You won an Amazon gift card.
ham,Please attend the meeting at 10 AM.
spam,Your bank account has won a reward.
ham,See you in the library.
spam,Exclusive deal just for you. Click here.
ham,Thanks for your help yesterday.
spam,Congratulations! Claim your prize immediately.
ham,What time is the exam tomorrow?
spam,Earn money from home without investment.
ham,Let's play cricket this evening.
spam,Winner! You have received a free gift.
ham,Please submit the lab record.
spam,Your SIM card has won a jackpot.
ham,Can you call me after class?
spam,Get rich quickly. Limited time offer.
ham,Don't forget to bring your ID card.
spam,You are selected for a cash reward.
ham,I'll be there in 10 minutes.
spam,Click here to verify your account and win rewards.
ham,Meeting has been postponed to 2 PM.
spam,Lowest loan rates available. Apply today.
ham,Please share the presentation.
spam,Free recharge worth Rs.500. Hurry!
ham,Good morning! Have a nice day.
spam,Your package is waiting. Pay a small fee to claim.
ham,Let's study together this weekend.
spam,Act now to receive your exclusive bonus.
ham,Where are you now?
spam,Claim your free movie tickets today.
ham,Dinner at 8 PM?
spam,You have won a luxury car. Call immediately.
ham,Don't forget the meeting tomorrow.
spam,Special offer ends tonight. Shop now!
ham,Thanks for the birthday wishes.
spam,Your account is selected for a reward. Click link.
ham,Can you help me with the project?
spam,Congratulations! You are our lucky winner.
